Date,Hour,CensusTract,NumberOfReports
12/31/2018,15,437.01,1
12/31/2018,15,890.0,1
12/31/2018,15,122.0,1
12/31/2018,15,90.0,1
12/31/2018,15,143.0,2
12/31/2018,14,389.0,1
12/31/2018,13,162.0,1
12/31/2018,13,62.02,1
12/31/2018,13,93.0,1
12/31/2018,13,593.0,1
12/31/2018,11,394.0,1
12/31/2018,10,243.0,1
12/31/2018,10,583.0,1
12/31/2018,10,28.0,1
12/31/2018,09,45.0,1
12/31/2018,09,942.02,1
12/31/2018,09,89.0,1
12/31/2018,09,409.01,1
12/31/2018,09,85.0,1
12/31/2018,08,269.0,1
12/31/2018,08,596.0,1
12/31/2018,08,1093.0,1
12/31/2018,08,356.0,1
12/31/2018,07,100.0,1
12/31/2018,06,10.02,1
12/31/2018,05,818.0,2
12/31/2018,04,127.0,1
12/31/2018,03,6.0,1
12/31/2018,00,6.0,1
12/31/2018,00,347.0,1
12/30/2018,23,86.0,1
12/30/2018,23,335.0,1
12/30/2018,23,69.0,1
12/30/2018,22,56.0,1
12/30/2018,22,345.0,1
12/30/2018,22,391.0,1
12/30/2018,22,32.0,1
12/30/2018,22,808.0,1
12/30/2018,22,52.0,1
12/30/2018,22,230.0,1
12/30/2018,22,181.0,1
12/30/2018,20,61.0,1
12/30/2018,20,39.0,1
12/30/2018,19,593.0,1
12/30/2018,19,175.0,1
12/30/2018,19,348.0,1
12/30/2018,19,910.0,1
12/30/2018,19,173.0,1
12/30/2018,18,942.02,1
12/30/2018,18,545.0,1
12/30/2018,18,890.0,1
12/30/2018,18,34.0,1
12/30/2018,17,129.01,1
12/30/2018,17,892.0,1
12/30/2018,16,15.02,1
12/30/2018,16,908.0,1
12/30/2018,15,114.01,1
12/30/2018,15,37.0,1
12/30/2018,15,1156.0,1
12/30/2018,15,364.0,1
12/30/2018,15,889.02,1
12/30/2018,14,73.0,1
12/30/2018,14,896.0,1
12/30/2018,14,226.0,1
12/30/2018,14,225.0,1
12/30/2018,13,1028.02,1
12/30/2018,13,51.0,1
12/30/2018,13,586.0,1
12/30/2018,13,285.0,1
12/30/2018,12,30.01,1
12/30/2018,12,583.0,1
12/30/2018,12,734.0,1
12/30/2018,12,225.0,1
12/30/2018,12,163.0,1
12/30/2018,12,102.0,1
12/30/2018,12,928.0,1
12/30/2018,11,40.01,1
12/30/2018,11,58.0,1
12/30/2018,11,54.0,1
12/30/2018,10,214.0,1
12/30/2018,10,110.0,1
12/30/2018,10,379.0,1
12/30/2018,09,1142.02,1
12/30/2018,09,325.0,1
12/30/2018,09,1010.04,1
12/30/2018,09,211.0,1
12/30/2018,08,90.0,1
12/30/2018,08,972.06,1
12/30/2018,07,1106.0,1
12/30/2018,04,1099.0,1
12/30/2018,02,210.01,1
12/30/2018,02,328.0,1
12/30/2018,01,2.01,1
12/30/2018,01,211.0,1
12/30/2018,00,118.0,1
12/29/2018,23,512.0,1
12/29/2018,21,583.0,1
12/29/2018,21,186.0,1
12/29/2018,21,324.0,1
12/29/2018,21,68.0,1
12/29/2018,20,23.0,1
12/29/2018,20,189.0,1
12/29/2018,20,451.01,1
12/29/2018,19,43.0,1
12/29/2018,19,2.02,1
12/29/2018,19,70.02,1
12/29/2018,18,315.0,1
12/29/2018,18,987.0,1
12/29/2018,18,7.0,1
12/29/2018,17,462.07,1
12/29/2018,17,265.0,1
12/29/2018,16,242.0,1
