Time,CensusTract,NumberOfReports
12/2018,437.01,1
12/2018,890.0,3
12/2018,122.0,2
12/2018,90.0,9
12/2018,143.0,7
12/2018,389.0,2
12/2018,162.0,4
12/2018,62.02,1
12/2018,93.0,2
12/2018,593.0,2
12/2018,394.0,4
12/2018,243.0,4
12/2018,583.0,8
12/2018,28.0,4
12/2018,45.0,7
12/2018,942.02,5
12/2018,89.0,5
12/2018,409.01,1
12/2018,85.0,7
12/2018,269.0,6
12/2018,596.0,2
12/2018,1093.0,2
12/2018,356.0,1
12/2018,100.0,4
12/2018,10.02,1
12/2018,818.0,2
12/2018,127.0,8
12/2018,6.0,7
12/2018,347.0,3
12/2018,86.0,1
12/2018,335.0,1
12/2018,69.0,8
12/2018,56.0,5
12/2018,345.0,4
12/2018,391.0,3
12/2018,32.0,7
12/2018,808.0,2
12/2018,52.0,2
12/2018,230.0,5
12/2018,181.0,3
12/2018,61.0,6
12/2018,39.0,11
12/2018,175.0,12
12/2018,348.0,4
12/2018,910.0,14
12/2018,173.0,2
12/2018,545.0,4
12/2018,34.0,6
12/2018,129.01,10
12/2018,892.0,2
12/2018,15.02,1
12/2018,908.0,6
12/2018,114.01,2
12/2018,37.0,2
12/2018,1156.0,3
12/2018,364.0,1
12/2018,889.02,2
12/2018,73.0,4
12/2018,896.0,3
12/2018,226.0,4
12/2018,225.0,8
12/2018,1028.02,1
12/2018,51.0,5
12/2018,586.0,1
12/2018,285.0,4
12/2018,30.01,3
12/2018,734.0,1
12/2018,163.0,5
12/2018,102.0,2
12/2018,928.0,1
12/2018,40.01,3
12/2018,58.0,3
12/2018,54.0,5
12/2018,214.0,2
12/2018,110.0,5
12/2018,379.0,4
12/2018,1142.02,2
12/2018,325.0,2
12/2018,1010.04,3
12/2018,211.0,9
12/2018,972.06,2
12/2018,1106.0,4
12/2018,1099.0,2
12/2018,210.01,3
12/2018,328.0,4
12/2018,2.01,1
12/2018,118.0,3
12/2018,512.0,4
12/2018,186.0,6
12/2018,324.0,5
12/2018,68.0,2
12/2018,23.0,3
12/2018,189.0,11
12/2018,451.01,3
12/2018,43.0,9
12/2018,2.02,6
12/2018,70.02,2
12/2018,315.0,1
12/2018,987.0,1
12/2018,7.0,2
12/2018,462.07,5
12/2018,265.0,4
12/2018,242.0,3
12/2018,340.0,1
12/2018,252.0,3
12/2018,79.0,6
12/2018,194.0,6
12/2018,227.0,3
12/2018,984.0,1
