Time,Geoid,NumberOfReports
12/2018,36047089000,3
12/2018,36081043701,1
03/2017,36005022403,2
02/2017,36081025400,2
05/2017,36081008600,1
12/2017,36061017200,4
09/2017,36005006700,5
09/2017,36061023600,3
06/2017,36047006600,8
12/2017,36061009800,2
02/2017,36047057200,5
02/2017,36047023100,1
10/2017,36047091000,9
03/2017,36047028300,6
12/2017,36061007000,1
02/2017,36085007000,1
12/2017,36005012901,4
07/2017,36005046201,15
10/2017,36047044900,1
11/2017,36081100802,3
12/2017,36047032500,3
10/2017,36085008100,1
02/2017,36005043500,2
12/2017,36081034700,1
07/2017,36047015900,3
10/2017,36005005100,9
11/2017,36047031300,133
06/2017,36005023800,38
05/2017,36005022200,2
07/2017,36047114400,2
11/2017,36005005400,6
11/2017,36047089000,3
07/2017,36061016200,5
01/2017,36061012900,3
03/2017,36047105804,1
08/2017,36005043600,1
03/2017,36005039600,2
03/2017,36005036300,3
05/2017,36005002000,4
09/2017,36005045800,5
12/2017,36047047700,1
01/2017,36047019000,2
03/2017,36081036600,2
09/2017,36005008300,2
03/2017,36085027702,2
07/2017,36047013700,1
10/2017,36047092400,6
03/2017,36047096600,1
10/2017,36061007200,3
01/2017,36047031300,105
03/2017,36061008300,5
12/2017,36061017000,6
02/2017,36005005001,2
04/2017,36005004400,5
11/2017,36081122702,2
12/2017,36061021303,1
01/2017,36081124700,157
05/2017,36061024100,3
06/2017,36047049500,1
09/2017,36081056800,1
03/2017,36061016900,34
02/2017,36005000200,2
12/2017,36047003300,4
05/2017,36081006501,1
10/2017,36005012901,3
07/2017,36047031300,98
10/2017,36081018102,1
09/2017,36047016600,1
12/2017,36047052700,1
03/2017,36005015100,5
11/2017,36005022200,2
05/2017,36005039902,2
10/2017,36081084000,2
08/2017,36047031300,90
09/2017,36047007800,4
03/2017,36085027900,42
03/2017,36081006900,2
06/2017,36081124700,124
06/2017,36047031300,99
06/2017,36005018900,2
03/2017,36005007800,3
06/2017,36005024502,2
05/2017,36047033100,2
08/2017,36061016200,16
11/2017,36005001900,6
05/2017,36005021502,2
09/2017,36047031300,103
05/2017,36081087100,1
06/2017,36061018600,8
08/2017,36047032500,3
